r,100K,400K,800K
0.05,0,0,0
0.15,0,0,0
0.25,0,0,0
0.35,0,0,0
0.45,0,0,0
0.55,0,0,0
0.65,0,0,0
0.75,0,0,0
0.85,0,0,0
0.95,0,0,0
1.05,0,0,0
1.15,0,0,0
1.25,0,0,0
1.35,0,0,0
1.45,0,0,0
1.55,0,0,0
1.65,0,0,0
1.75,0,0,0
1.85,0,0,0
1.95,0,0,0
2.05,0,0,0
2.15,0,0,0
2.25,0,0,0
2.35,0,0,0
2.45,0,0,0.0916448
2.55,0,0.0549948,0.874188
2.65,2.46105,2.46977,1.82782
2.75,5.73667,3.78298,1.91555
2.85,0.347395,1.49693,1.76092
2.95,0,0.513668,1.3275
3.05,0,0.307545,1.39958
3.15,0.0355476,1.26144,2.6058
3.25,5.30963,4.94322,2.93403
3.35,6.12888,4.17453,2.71247
3.45,0.148173,1.23189,1.84881
3.55,0,0.0851322,0.814858
3.65,0,0.0134219,0.481764
3.75,0.275913,0.597637,0.66506
3.85,3.62904,1.58035,0.952629
3.95,0.373022,1.50135,0.799228
4.05,0,0.446971,0.760249
4.15,0,0.0934444,0.585632
4.25,0,0,0.274123
4.35,0,0,0.0775303
4.45,0,0,0.0463032
4.55,0,0,0.0354323
4.65,0,0,0.101774
4.75,0,0.0871801,0.365753
4.85,0.56984,0.699386,0.857577
4.95,1.66994,1.99235,1.27982
5.05,4.9102,2.44011,1.95592
5.15,1.58266,2.40695,1.8807
5.25,0.0639892,1.35595,1.46376
5.35,0.94894,0.762197,1.24938
5.45,1.03319,0.451527,0.747067
5.55,0.921863,0.876611,0.904951
5.65,1.22102,1.27719,0.959373
5.75,0.0266724,0.995174,1.40885
5.85,1.80894,2.09532,1.89697
5.95,3.08877,2.5912,1.95288
6.05,2.22136,1.34839,1.57322
6.15,0.858018,0.83211,1.20246
6.25,0.361209,0.90183,0.999976
6.35,1.16349,0.966781,1.01876
6.45,0.15262,1.05309,0.956557
6.55,1.21274,0.729415,0.769415
6.65,0.183461,0.250708,0.489339
6.75,0,0.031398,0.257599
6.85,0,0.030488,0.160241
6.95,0.266553,0.299872,0.265766
7.05,2.05107,1.01459,0.475974
7.15,0.23805,0.888469,0.548847
7.25,0.218107,0.377631,0.746638
7.35,1.20471,0.569344,0.841878
7.45,2.22442,1.4144,1.07385
7.55,0.980838,1.83834,1.30619
7.65,1.72086,2.0931,1.47595
7.75,1.44182,1.44993,1.63657
7.85,0.14597,0.64132,1.58919
7.95,1.05764,1.04403,1.50013
8.05,1.48061,1.56188,1.45177
8.15,1.88528,1.84146,1.41637
8.25,1.69215,1.18755,1.20441
8.35,0.799369,0.477049,0.723325
8.45,0.160558,0.701241,0.624118
8.55,1.31974,0.94423,0.732529
8.65,1.18568,0.881896,0.821083
8.75,0.35937,0.83149,0.924582
8.85,0.671063,0.70778,1.08878
8.95,1.08992,1.15416,1.09206
9.05,0.962596,1.31002,0.929235
9.15,1.08914,0.946205,0.974749
9.25,1.13992,0.844348,0.913064
9.35,1.06322,1.07594,0.971254
9.45,1.54249,1.19746,0.973396
9.55,0.672987,0.747037,1.00138
9.65,0.0814419,0.533844,0.876356
9.75,0.634529,0.720466,0.686778
9.85,0.987102,0.689324,0.640771
9.95,0.546924,0.402794,0.618694
