1/kT,Int,Vac,stdevI,stdevV
8.28897351,8.25433E-10,1.967E-09,1.84573E-09,4.39835E-09
8.595972529,1.02683E-09,1.25663E-09,2.29607E-09,2.80992E-09
8.926586857,8.57067E-10,1.0945E-09,1.91646E-09,2.44738E-09
9.283650331,5.52E-10,7.03467E-10,1.23431E-09,1.573E-09
9.670469095,7.43333E-10,5.59E-10,1.66214E-09,1.24996E-09
10.09092427,5.64667E-10,3.27333E-10,1.26263E-09,7.3194E-10
10.54960265,5.38333E-10,4.4327E-10,1.20375E-09,9.91182E-10
11.05196468,4.02667E-10,4.557E-10,9.0039E-10,1.01898E-09
11.60456291,3.05267E-10,2.926E-10,6.82597E-10,6.54273E-10
12.21532938,3.28E-10,2.367E-10,7.3343E-10,5.29277E-10
12.89395879,2.673E-10,2.9656E-10,5.97671E-10,6.63128E-10
