x_ddsc,rho_dDsC_1250,rho_dDsC_1100,rho_dDsC_1500,rho_D3_1250,x_Desyatnik,rho_Desyatnik_1250,rho_Desyatnik_1100,rho_Desyatnik_1500,x_cx,1500cx,1250cx,1100cx
0,1.332447622,1.417770851,1.206713806,1.431495834,0,1.4176,1.5085,1.2661,0,1.294556202,1.406705264,1.450931929
0.125,1.82058,1.91012,1.67596,1.935396103,0.1,1.794425,1.89905,1.62005,0.1,1.697006882,1.730979488,1.919955262
0.25,2.221319472,2.319771,2.105848666,2.343248078,0.139,1.9091,2.0114,1.7386,0.2,2.04881238,2.234348599,2.249540959
0.285714286,2.313078,2.434524,2.22213,2.525390815,0.22,2.2096,2.31826,2.0285,0.25,2.247387193,2.40349552,2.388768732
0.357142857,2.59979,2.717474734,2.446619153,2.754947926,0.25,2.283275,2.40827,2.07495,0.34,2.392047454,2.657190426,2.820913919
0.5,3.0561,3.1976,2.844784,3.121102,0.318,2.519375,2.63603,2.32495,0.45,2.729595746,2.959251218,3.054776104
0.75,3.763199,3.906622,3.516608621,3.744712467,0.333,2.56425,2.68224,2.3676,0.55,3.049401708,3.3037358,3.388584323
0.85,4.018112416,4.169458246,3.75148,3.953272118,0.367,2.6907,2.80104,2.5068,0.75,3.593704534,3.761350057,3.953622023
1,4.416204097,4.601282599,4.080172677,4.306202974,0.4,2.8006,2.9203,2.6011,0.85,3.834505813,4.02537159,4.370021487
,,,,,0.425,2.872525,3.00631,2.64955,1,4.347590829,4.444452569,4.623233584
,,,,,0.465,3.005475,3.13941,2.78225,,,,
,,,,,0.54,3.23785,3.38086,2.9995,,,,
,,,,,0.55,3.25575,3.41838,2.9847,,,,
,,,,,0.64,3.5369,3.65636,3.3378,,,,
,,,,,0.75,3.832925,3.95663,3.62675,,,,
,,,,,0.77,3.894525,4.01283,3.69735,,,,
,,,,,0.9,4.199525,4.37693,3.90385,,,,
,,,,,1,4.47195,4.70028,4.0914,,,,
