x,cp_dDsC,x_NIST,cp_NIST,c_benes,cp_benes,x_yin,cp_yin,x_Ghosh,cp_Ghosh,x_cx,cp_cx
0,71.45792895,0,73.6,1,150,1,129.704,0.1,78.97078106,0,71.0752893
0.125,81.10625691,,,,,,,0.200172117,85.29834994,0.1,68.16399749
0.25,87.23696531,,,,,,,0.301376936,83.59733955,0.2,74.4177921
0.285714286,94.07119761,,,,,,,0.401549053,94.57041721,0.25,72.53484398
0.357142857,100.2736942,,,,,,,0.50172117,97.22189897,0.34,97.22258131
0.5,101.3074436,,,,,,,0.601893287,113.6963948,0.45,99.5909867
0.75,123.0161815,,,,,,,0.7,104.4054429,0.55,108.143522
0.85,128.8051783,,,,,,,,,0.75,122.840654
1,140.5037759,,,,,,,,,0.85,139.9182954
,,,,,,,,,,1,121.271278
