Temp,1/T,Vac. z,Vac. x-y,Int. x-y,Int. z,,,,,,,,
850,0.001176471,1.47E-08,2.32E-12,1.36E-10,1.88E-11,,,,,,,,
875,0.001142857,1.62E-08,3.35E-12,1.82E-10,2.51E-11,,,,,,,,
900,0.001111111,1.79E-08,4.74E-12,2.39E-10,3.31E-11,,,,,,,,
925,0.001081081,1.95E-08,6.58E-12,3.11E-10,4.29E-11,,,,,,,,
950,0.001052632,2.13E-08,8.99E-12,3.97E-10,5.49E-11,,,,,,,,
975,0.001025641,2.31E-08,1.21E-11,5.02E-10,6.94E-11,,,,,,,,
1000,0.001,2.49E-08,1.60E-11,6.27E-10,8.67E-11,,,,,,,,
1025,0.00097561,2.68E-08,2.09E-11,7.75E-10,1.07E-10,,,,,,,,
1050,0.000952381,2.88E-08,2.69E-11,9.48E-10,1.31E-10,,,,,,,,
1075,0.000930233,3.07E-08,3.43E-11,1.15E-09,1.59E-10,,,,,,,,
1100,0.000909091,3.28E-08,4.33E-11,1.38E-09,1.91E-10,,,,,,,,
1125,0.000888889,3.48E-08,5.40E-11,1.64E-09,2.27E-10,,,,,,,,
1150,0.000869565,3.69E-08,6.67E-11,1.94E-09,2.68E-10,,,,,,,,
1175,0.000851064,3.90E-08,8.17E-11,2.28E-09,3.15E-10,,,,,,,,
