P300,V300,P400,V400,P500,V500,P600,V600,P700,V700,Vir300,Vir400,Vir500,Vir600,Vir700
2.975073322,774.4576188,4.502442778,784.6431093,6.972339062,810.6655668,6.212709091,844.8983736,7.188521853,858.9193854,4.059075175,5.081316416,5.941105341,6.673714426,7.54122621
2.967822619,758.7906559,4.271766363,767.5159733,5.129393688,770.6089895,5.867936211,822.2285176,7.820978573,802.5878143,4.161110793,5.214706207,6.296532013,6.880643696,8.13147548
3.26836299,695.1649188,4.366354429,691.6590554,6.220664226,699.088347,6.892658636,718.7731545,8.285825019,757.7994051,4.632345124,5.898818718,7.047966083,8.013111078,8.67073789
4.416258973,662.8614422,6.816290729,663.601454,7.243227671,660.4726539,8.759432783,672.1351802,11.16927053,658.5097312,4.913486157,6.198625173,7.532239832,8.654073675,10.16332132
4.777300714,517.6701562,6.969399493,527.2201887,10.69236018,550.409943,9.941088813,553.8243771,11.03915281,579.1570498,6.726122183,8.213705061,9.357666372,10.84968312,11.78133099
5.20867513,516.9676236,6.75851998,506.3386885,7.190745263,518.9944464,10.66222809,544.1375125,12.24795674,551.9542137,6.737998827,8.640072236,10.04951128,11.07921863,12.46045823
6.160524972,468.3692431,7.838818413,473.4197819,10.46359709,451.3096988,12.5012813,467.1735589,14.00160367,461.172706,7.669615667,9.406896857,11.94325254,13.31127307,15.42122457
7.491481851,451.0218981,10.00788923,451.0495014,13.01066713,442.8219612,15.63122641,441.986296,17.27556488,441.9257814,8.064333989,10.0077796,12.23106799,14.24739727,16.23735321
7.729913783,385.4295294,10.04014402,391.258415,13.75756119,404.5300467,15.07326116,398.028179,16.52436068,420.2357409,9.981764957,12.04799679,13.71774966,16.23391177,17.26601079
7.468954607,385.1778436,9.839883579,376.1491426,12.22054737,388.4852806,16.6407145,384.8303472,18.86477752,408.4943067,9.990771966,12.69625494,14.4506933,16.94103649,17.87854991
8.43487637,347.5086879,11.61496425,344.4578329,14.88625114,344.7894087,16.96056577,360.4376942,20.09421391,346.6507549,11.53586636,14.29896901,16.89554635,18.42066027,21.97407012
10.94153159,320.4225422,14.11041507,334.4897963,15.91768888,337.3219118,20.37585177,330.8048355,21.15147191,344.0312056,12.95321212,14.88596295,17.39574959,20.59787015,22.18879462
9.431218245,316.4979408,12.86619851,310.1348048,17.96124539,325.1683691,20.41282872,317.8594704,25.82622765,338.7773304,13.18586498,16.53342334,18.27412213,21.71517833,22.63218239
10.80404715,314.0426918,13.77433682,300.2121757,16.68076296,310.2210595,23.08811494,309.6615932,26.49687148,321.9025608,13.3354133,17.30816847,19.47937041,22.48606105,24.18245069
12.63346161,279.4102748,14.91860689,282.507753,23.61339922,273.9600809,22.66376019,300.8486463,26.21241392,302.1829974,15.83737083,18.8758397,23.15366724,23.37664176,26.28167632
15.93526717,268.1712417,19.6781404,270.9629236,19.89385494,269.6300534,24.6392674,274.4033976,29.52456039,290.1149447,16.84519521,20.05083248,23.68307628,26.51499994,27.75286467
13.20730617,264.1141951,18.67652241,260.6834027,25.26190158,257.3439303,27.74264126,264.2488271,28.24622031,285.1284516,17.23858279,21.21929572,25.31982655,27.94874577,28.4091082
12.59995449,260.7901789,17.46170571,253.5742232,23.10471323,255.4422267,31.31567564,259.0713133,34.67084772,273.777622,17.57371189,22.10517436,25.59270077,28.73923547,30.02288951
14.71541879,238.0544119,19.2011648,230.4216725,29.72439487,239.5507804,29.6899837,233.055122,36.05278817,242.1286322,20.22954038,25.53929491,28.11302852,33.46960608,35.64387337
19.37077573,223.1695456,24.59009281,223.9903282,26.59484051,231.8495428,32.10666511,229.4235753,39.59708835,236.6652161,22.40035956,26.67653767,29.51222699,34.25182211,36.82871551
16.83733438,223.0614934,26.73956566,220.2526394,26.50035696,222.0870745,37.19392673,223.6440671,36.45974428,236.6576505,22.41766226,27.38184413,31.48796403,35.57197298,36.83040951
22.37271199,215.3561643,22.28643696,218.3075337,34.63687191,216.2004482,37.98252702,218.9223924,44.95690191,226.6799438,23.71739395,27.76279455,32.80512191,36.72535195,39.20497861
