x,1200_I,1200_V,Em_V,Em_I,D0_I,D0_V,
0,9.80268E-05,3.81851E-05,-0.419786062,-0.124538097,3.160E-04,2.150E-03,
0.12,7.02921E-05,2.22853E-05,-0.590374934,-0.222727507,6.048E-04,6.906E-03,
0.22,5.09241E-05,1.14424E-05,-0.692106566,-0.325824521,1.197E-03,9.702E-03,
0.3,3.61651E-05,6.75971E-06,-0.751673408,-0.442742421,2.727E-03,9.540E-03,
0.52,1.85907E-05,2.44938E-06,-0.842632777,-0.633042436,8.554E-03,8.797E-03,
0.71,1.13708E-05,1.19958E-06,-0.89422521,-0.747217254,1.576E-02,7.550E-03,
1,5.34944E-05,1.2613E-07,-1.42808509,-0.272582551,7.426E-04,1.133E-01,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
