time (ps),Lx,Ly,Lz
0.002,13.6395211,17.88321302,14.72467347
0.004,13.6394795,17.88442601,14.72443935
0.006,13.63941861,17.88563725,14.72370488
0.008,13.63897151,17.88707474,14.72309273
0.01,13.63838436,17.8888001,14.72244957
0.012,13.63794862,17.89047695,14.72190568
0.014,13.63723946,17.8921991,14.72122871
0.016,13.63658266,17.89407783,14.72045648
0.018,13.6357863,17.89579815,14.71967861
0.02,13.63505938,17.89756952,14.71917028
0.022,13.63443563,17.89935666,14.71885448
0.024,13.63361877,17.90071926,14.71888651
0.026,13.6327131,17.90208902,14.71869126
0.028,13.63170573,17.90370765,14.71878448
0.03,13.63091439,17.90520361,14.71874841
0.032,13.63004938,17.90692097,14.71840539
0.034,13.62904948,17.90890179,14.71798953
0.036,13.62794694,17.91093206,14.71791479
0.038,13.62672203,17.91292439,14.71759335
0.04,13.62554943,17.9149706,14.71725029
0.042,13.62446471,17.91709535,14.71682635
0.044,13.62340845,17.91914293,14.71630841
0.046,13.62247822,17.92127997,14.7156179
0.048,13.62159791,17.92326917,14.71510886
0.05,13.62067598,17.92534849,14.7146948
0.052,13.61997592,17.92709762,14.71447395
0.054,13.61939336,17.92864418,14.71469751
0.056,13.61897222,17.92980034,14.7153415
0.058,13.61863778,17.93090934,14.71579405
0.06,13.61853855,17.93202543,14.71603391
0.062,13.61878761,17.93322973,14.71645765
0.064,13.61871372,17.93432596,14.71699068
0.066,13.61856141,17.93508261,14.71748097
0.068,13.61892381,17.93593974,14.71786603
0.07,13.61932187,17.93679621,14.71836771
0.072,13.61999339,17.93783605,14.7187022
0.074,13.62094148,17.93904777,14.71913701
0.076,13.62180824,17.94072905,14.71948028
0.078,13.62279155,17.94223968,14.71997772
0.08,13.62413373,17.94356122,14.72033877
0.082,13.62569094,17.9451207,14.7202228
0.084,13.62752704,17.94687859,14.71995802
0.086,13.6295047,17.9485663,14.71980665
0.088,13.63137606,17.95044833,14.71965714
0.09,13.63313446,17.95215618,14.71924225
0.092,13.63497309,17.95358603,14.71869014
0.094,13.63678828,17.95470365,14.71800638
0.096,13.63830553,17.9556445,14.71696855
0.098,13.64015214,17.95631994,14.71599924
0.1,13.64206232,17.95686274,14.71466805
0.102,13.64410766,17.95779897,14.71318892
0.104,13.64640585,17.95868391,14.7119522
0.106,13.64860711,17.95979945,14.71088577
0.108,13.65107131,17.96057518,14.71001517
0.11,13.65322922,17.96178262,14.70915876
0.112,13.65504707,17.96271313,14.70820463
0.114,13.65720038,17.96317121,14.70730665
0.116,13.65892559,17.96357475,14.70648564
0.118,13.66068322,17.96424298,14.70565912
0.12,13.66257119,17.96486762,14.70492431
0.122,13.66462125,17.96546452,14.70431081
0.124,13.6664911,17.96573814,14.70340371
0.126,13.66822445,17.96590208,14.70292314
0.128,13.66982981,17.96591489,14.7028508
0.13,13.6713113,17.96580451,14.70285197
0.132,13.67273698,17.96544427,14.70302329
0.134,13.67428777,17.96488636,14.70300894
0.136,13.67597289,17.96393508,14.70296595
0.138,13.67779746,17.96294,14.70312081
0.14,13.6797519,17.96185551,14.70328039
0.142,13.68166827,17.96054532,14.70363148
0.144,13.68328867,17.95885636,14.70438768
0.146,13.68490013,17.95726485,14.70516568
0.148,13.68666836,17.9556138,14.70616571
0.15,13.68822754,17.95408397,14.70762753
0.152,13.68992226,17.95247182,14.70914602
0.154,13.69148689,17.95053176,14.71063487
0.156,13.6931889,17.94819074,14.71224922
0.158,13.6951006,17.94572655,14.71411018
0.16,13.69698314,17.94299517,14.71598966
0.162,13.69855246,17.94025711,14.71808002
0.164,13.70037985,17.93766979,14.71976212
0.166,13.70230099,17.9349823,14.72191786
0.168,13.70417402,17.93245102,14.72410292
0.17,13.70603367,17.9302243,14.72611462
0.172,13.70770005,17.92779772,14.72820484
0.174,13.70927627,17.92528251,14.73028071
0.176,13.71072909,17.92286488,14.73261896
0.178,13.71227195,17.92043013,14.73497355
0.18,13.71387958,17.91776652,14.73704544
0.182,13.71522062,17.91520184,14.73890399
0.184,13.71650733,17.9124544,14.74115774
0.186,13.71776417,17.90997476,14.74334413
0.188,13.71934966,17.9073938,14.74529108
0.19,13.72060414,17.90499369,14.74730103
0.192,13.72210916,17.9026726,14.74951433
0.194,13.72361747,17.90021189,14.75185078
0.196,13.72499406,17.89784223,14.75404913
0.198,13.72641779,17.89545375,14.7562337
0.2,13.72790043,17.89331625,14.75844726
0.202,13.72941924,17.89118001,14.76040195
0.204,13.73088943,17.88903909,14.76225674
0.206,13.73179557,17.88666967,14.76414568
0.208,13.73246826,17.88421651,14.76618079
0.21,13.73304213,17.88153074,14.76802407
0.212,13.73365777,17.8786795,14.76973183
0.214,13.73411849,17.87576148,14.77163297
0.216,13.73466813,17.87266952,14.77369285
0.218,13.73506173,17.86961527,14.77602846
0.22,13.73573693,17.86675792,14.77815463
0.222,13.736405,17.86389569,14.77985215
