R0,up0,down0,R4,up4,down4
-47.07160682,0,0,-46.70864312,0,0
-46.90160682,0,0,-46.53164312,0,0
-46.73160682,0,0,-46.35464312,0,0
-46.56160682,0,0,-46.17764312,0,0
-46.39160682,0,0,-46.00164312,0,0
-46.22160682,0,0,-45.82464312,0,0
-46.05160682,0,0,-45.64764312,0,0
-45.88160682,0,0,-45.47064312,0,0
-45.71160682,0,0,-45.29364312,0,0
-45.54160682,0,0,-45.11664312,0,0
-45.37160682,0,0,-44.93964312,0,0
-45.20160682,7.62E-10,-1.166E-13,-44.76364312,1.216E-10,-3.547E-14
-45.03160682,0.0003069,-7.663E-07,-44.58664312,0.0001207,-5.365E-07
-44.86160682,0.583,-0.02088,-44.40964312,0.3151,-0.01913
-44.69160682,14.04,-4.073,-44.23264312,4.46,-2.344
-44.52160682,29.97,-22.55,-44.05564312,4.904,-3.234
-44.35160682,19.58,-26.37,-43.87864312,3.874,-2.147
-44.18160682,20.28,-29.53,-43.70264312,14.33,-14.94
-44.01160682,21.08,-26.89,-43.52564312,13.15,-16.17
-43.84160682,11.75,-8.128,-43.34864312,15.28,-22.41
-43.67160682,0.3589,-0.07968,-43.17164312,20.44,-22.02
-43.50160682,0.00008892,-0.01523,-42.99464312,15.61,-16.69
-43.33160682,0.1024,-3.76,-42.81764312,12.66,-10
-43.16160682,8.902,-26.42,-42.64164312,12.72,-6.071
-42.99160682,31.58,-25.76,-42.46464312,1.357,-8.277
-42.82160682,29.37,-21.24,-42.28764312,10.82,-11.57
-42.65160682,32.01,-21.87,-42.11064312,15.92,-13.37
-42.48160682,15.25,-17.11,-41.93364312,19.19,-15.13
-42.31160682,0.4294,-1.468,-41.75664312,25.5,-17.21
-42.14160682,0.0001028,-0.001813,-41.57964312,17.23,-19.07
-41.97160682,1.057E-10,-1.059E-08,-41.40364312,11.61,-13.59
-41.80160682,0,0,-41.22664312,1.399,-10.14
-41.63160682,0,0,-41.04964312,4.141,-1.772
-41.46160682,0,0,-40.87264312,1.289,-0.003748
-41.29160682,0,0,-40.69564312,0.003327,-2.834E-08
-41.12160682,0,0,-40.51864312,2.594E-08,-6.278E-16
-40.95160682,0,0,-40.34264312,0,0
-40.78160682,0,0,-40.16564312,0,0
-40.61160682,0,0,-39.98864312,0,0
-40.44160682,0,0,-39.81164312,0,0
-40.27160682,0,0,-39.63464312,0,0
-40.10160682,0,0,-39.45764312,0,0
-39.93160682,0,0,-39.28164312,0,0
-39.76160682,0,0,-39.10464312,0,0
-39.59160682,0,0,-38.92764312,0,0
-39.42160682,0,0,-38.75064312,0,0
-39.25160682,0,0,-38.57364312,0,0
-39.08160682,0,0,-38.39664312,0,0
-38.91160682,0,0,-38.21964312,0,0
-38.74160682,0,0,-38.04364312,0,0
-38.57160682,0,0,-37.86664312,0,0
-38.40160682,0,0,-37.68964312,0,0
-38.23160682,0,0,-37.51264312,0,0
-38.06160682,0,0,-37.33564312,0,0
-37.89160682,0,0,-37.15864312,0,0
-37.72160682,0,0,-36.98264312,0,0
-37.55160682,0,0,-36.80564312,0,0
-37.38160682,0,0,-36.62864312,0,0
-37.21160682,0,0,-36.45164312,0,0
-37.04160682,0,0,-36.27464312,0,0
-36.87160682,0,0,-36.09764312,0,0
-36.70160682,0,0,-35.92164312,0,0
-36.53160682,0,0,-35.74464312,0,0
