xD,D1100,D1250,D1500,xE,E1100,E1250,E1500
0,1,1,1,0,1,1,1
0.125,0.995689324,0.988022915,0.996611711,0.144,0.961232802,0.9679871,0.993022327
0.25,0.989113329,0.980980183,0.986012513,0.249,0.94928799,0.9557914,0.993195785
0.285714286,0.984911965,0.980980183,0.98241873,0.333,0.950776353,0.95871502,0.991719472
0.357142857,0.992842428,0.991679425,0.986701021,0.406,0.958118374,0.96597099,0.991870754
0.5,0.992389332,0.994234277,1.002310928,0.495,0.956246376,0.96584113,0.990065909
0.75,0.993252707,0.996389779,1.007209106,0.599,0.96337779,0.97116622,0.991980332
0.85,0.994010104,0.997441711,1.014354339,0.7,0.980984257,0.99170836,0.989186233
1,1,1,1,0.85,0.98947958,1.00172751,0.987773191
,,,,1,1,1,1
