RS,Na-Na (Small),Na-Cl (Small),Cl-Cl (Small),RL,Na-Na (Large),Na-Cl (Large),Cl-Cl (Large)
0.035,0,0,0,0.06,0,0,0
0.105,0,0,0,0.18,0,0,0
0.175,0,0,0,0.3,0,0,0
0.245,0,0,0,0.42,0,0,0
0.315,0,0,0,0.54,0,0,0
0.385,0,0,0,0.66,0,0,0
0.455,0,0,0,0.78,0,0,0
0.525,0,0,0,0.9,0,0,0
0.595,0,0,0,1.02,0,0,0
0.665,0,0,0,1.14,0,0,0
0.735,0,0,0,1.26,0,0,0
0.805,0,0,0,1.38,0,0,0
0.875,0,0,0,1.5,0,0,0
0.945,0,0,0,1.62,0,0,0
1.015,0,0,0,1.74,0,0,0
1.085,0,0,0,1.86,0,0,0
1.155,0,0,0,1.98,0,0.000221492,0
1.225,0,0,0,2.1,0,0.010636552,0
1.295,0,0,0,2.22,0.000384492,0.210375064,0
1.365,0,0,0,2.34,0.002419195,1.130331492,0
1.435,0,0,0,2.46,0.010934581,2.570076035,0
1.505,0,0,0,2.58,0.026386918,3.522682754,0
1.575,0,0,0,2.7,0.065649441,3.583472797,0.000709431
1.645,0,0,0,2.82,0.140529636,3.040410913,0.009050655
1.715,0,0,0,2.94,0.242211165,2.351015861,0.045382962
1.785,0,0,0,3.06,0.402765674,1.769462461,0.130564799
1.855,0,0,0,3.18,0.617746982,1.343530524,0.283421071
1.925,0,0,0,3.3,0.834183396,1.07116675,0.539756231
1.995,2.1262E-05,0.000138199,0,3.42,1.034065655,0.853352587,0.83795103
2.065,0.000158757,0.002450444,0,3.54,1.212788116,0.723873239,1.117304795
2.135,0.000194119,0.024696426,0,3.66,1.362107901,0.634003005,1.366793325
2.205,0.000314956,0.14430268,0,3.78,1.457417764,0.583344985,1.577733137
2.275,0.001027479,0.484531888,0,3.9,1.474197098,0.547496273,1.688858618
2.345,0.002407675,1.17065252,0,4.02,1.464410927,0.525055677,1.74135131
2.415,0.005613849,2.042719732,0,4.14,1.463334497,0.526016222,1.752910723
