x D,T=1100 K,T=1250 K,T=1500 K,Exp,E H,CALPHAD,C H
0,0,0,0,0.008038585,-0.001646498,0,0
0.125,-0.036251754,-0.031101481,-0.03323123,0.051446945,-0.017036917,0.1,-0.030471406
0.25,-0.059293286,-0.061764486,-0.061423902,0.096463023,-0.028475742,0.2,-0.05241323
0.28571429,-0.060571427,-0.061961642,-0.062996217,0.099678457,-0.031387443,0.3,-0.06635888
0.35714286,-0.076092562,-0.071415608,-0.077425491,0.125401929,-0.038874674,0.4,-0.072913708
0.5,-0.075583592,-0.073381561,-0.074932768,0.151125402,-0.040746482,0.5,-0.072755009
0.75,-0.05216785,-0.053098413,-0.053275983,0.173633441,-0.047609777,0.6,-0.066632021
0.85,-0.031150024,-0.02948121,-0.028939771,0.202572347,-0.0532252,0.7,-0.055365928
1,0,0,0,0.247588424,-0.059672538,0.8,-0.039849857
,,,,0.295819936,-0.061960303,0.9,-0.021048876
,,,,0.323151125,-0.06840764,1,0
,,,,0.374598071,-0.077142743,,
,,,,0.390675241,-0.075270935,,
,,,,0.41318328,-0.073399128,,
,,,,0.5,-0.076518807,,
,,,,0.554662379,-0.072567213,,
,,,,0.627009646,-0.073607106,,
,,,,0.652733119,-0.068199662,,
,,,,0.721543408,-0.067783704,,
,,,,0.749196141,-0.047193819,,
,,,,0.803858521,-0.040122546,,
,,,,0.864951768,-0.017660853,,
,,,,0.90192926,-0.017036917,,
,,,,0.950160772,-0.008717771,,
