RS,U-U (Small),U-Cl (Small),Cl-Cl (Small),RL,U-U (Large),U-Cl (Large),Cl-Cl (Large)
0.035,0,0,0,0.06,0,0,0
0.105,0,0,0,0.18,0,0,0
0.175,0,0,0,0.3,0,0,0
0.245,0,0,0,0.42,0,0,0
0.315,0,0,0,0.54,0,0,0
0.385,0,0,0,0.66,0,0,0
0.455,0,0,0,0.78,0,0,0
0.525,0,0,0,0.9,0,0,0
0.595,0,0,0,1.02,0,0,0
0.665,0,0,0,1.14,0,0,0
0.735,0,0,0,1.26,0,0,0
0.805,0,0,0,1.38,0,0,0
0.875,0,0,0,1.5,0,0,0
0.945,0,0,0,1.62,0,0,0
1.015,0,0,0,1.74,0,0,0
1.085,0,0,0,1.86,0,0,0
1.155,0,0,0,1.98,0,0,0
1.225,0,0,0,2.1,0,0,0
1.295,0,0,0,2.22,0,0,0
1.365,0,0,0,2.34,0,0.021206111,0
1.435,0,0,0,2.46,0,0.424175483,5.85623E-05
1.505,0,0,0,2.58,0,2.269183381,0.002531784
1.575,0,0,0,2.7,0,4.628721719,0.033089861
1.645,0,0,0,2.82,0,5.197365415,0.153370807
1.715,0,0,0,2.94,0,4.075920137,0.438134062
1.785,0,0,0,3.06,0,2.675367085,0.904969456
1.855,0,0,0,3.18,0,1.690394935,1.407490836
1.925,0,0,0,3.3,0,1.050018067,1.813487221
1.995,0,0,0,3.42,0,0.705036128,2.005094605
2.065,0,0,0,3.54,0.004278593,0.530426723,2.030067557
2.135,0,0,0,3.66,0.018330671,0.428009393,1.885112421
2.205,0,0,0,3.78,0.082358193,0.367134287,1.694177007
2.275,0,0.000656144,0,3.9,0.200019735,0.351759913,1.502069879
2.345,0,0.015200625,0,4.02,0.474633928,0.33730718,1.31044223
2.415,0,0.127874936,3.21685E-05,4.14,0.779779601,0.360660172,1.157725752
2.485,0,0.597755501,0.000239905,4.26,1.223788943,0.38297754,1.02113766
2.555,0,1.678607373,0.002098335,4.38,1.583776748,0.430068351,0.921045227
2.625,0,3.190670022,0.008877233,4.5,1.906693514,0.490256119,0.85403312
